"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
357,302.43,134.48,228,188,391,390.02,415,685.11,402,304.74
364,283.88,100,297,236.34,471.96,332,336,643.66,378,313
309,330,144,219,279.62,544,501.09,365,699.95,424,273
292,286.16,134,289,308,498,305,414,588,369,297.08
311,211,94,275,286,525,542.02,358,618,366,255
247.23,148,100,237,195.49,431,319.38,337,550,318,247.02
231,172,120,249.38,203,446,292,295,473,306,245
294,191,101.13,255,187,423,285,291.9,499,319,232
301,190,122,253,202,426,349,296.83,571,268,240.83
269,206,90,182,205.01,444,360,314.61,650,352,243
262,203,67,227.22,163,430,374,303.22,636,398,243
253.88,240,119,257,191,441,314,365,646,389,247
228,257,111,309,207.66,417,335.48,354,705,343,285
213,188,68,257,192.33,393,246,369,864,359,247.08
216,236,97,224,191,408,319,322,930,332.22,258
238.05,212,105,324,318,450,349,414,672.87,329.89,278
186,220,80,366,367,543.28,403,393,1054,370,353
188,266,143.12,317.71,436,577,403,460.05,959,380,317
247,275.59,150,449,498,621,447,519,1024.96,381,334
269,287.01,150,432,494.29,689,460,579,1186,479,328
246,310,180,495,481,561,416,488,1055.71,469,384
243,280,149,469,449,605.94,461,545,992,419.01,426
225,269,133,395,389,628,461,471,908.31,488,356
245.08,200,144,404,378,599,509,442,832.03,372.38,333
279,252,159,343,355.1,549,478,377,833,386,313
340.53,308.77,163,361,316,594,399,398,740,340,286
266.27,252,143,275,338,576,351,427,606,337,285
215,213,126.71,290,347,485,345,390,630,327,269
250.97,200,128.440980392157,245,357,452.98,344,324,594,298.78,229
267,198.92,89,226,185.75,433,368,251,550,282,231
240,180,113,275,229,419,286,328,701,312.66,243.95
280,242.55,123,312,173,499,373,359,861,316,243
254.05,226,114,294,161,526,337,337,676.53,318,229
211,228,112,265,179,430,339.08,309,666,321.39,262.01
237,184,126,273,149,507,355.72,318,655.38,299,268
264,210,95,247,133,457,281,265,568.12,328,243
215,191,91,226,162.19,406.05,255,246,517,352,226
250.87,207,103.19,253.75,186.38,432.88,297,306.54,539,331,243.37
233.07,208,96,245.58,175.06,401,305,270,596.42,343,239
172,174.74,111,209,84,376,235,215,670,295,225
205,196,118,229,79,394,254,241,659.95,296,261
205,229,111,230.4,157.15,414,273,252,582,299.4,243.95
238.26,254,128,240.03,154,395,297,327.87,718,304,276
246,294,112,355,159,427,365,345,684,355.46,343
250,282,170,308,341.37,488,372.3,404.55,718.25,324,318
233,342,116,337,224.66,445,258,264,628,362,284.33
294,306,157,358,289,478,314,294,595,335.28,296
279,310,98,271,242.5,517,269,267,489,314,285
295,287,131.62,321,279.6,526,337,361,637,353.76,297
324,345.24,122,379,316,608,354,376,754,396,415
411,295,163,342.01,315,658,337,414,735,395,333.71
357,323,176.64,314,339,653,334,383,782,336,345
363,264,126,316,350,506.04,326,397,723,349,358
312,280,173,296,269,510.09,488,335,723,344,290
325.31,294,141,290.15,295,524.97,1053,364,666,366,316
326,291.21,127,257.62,235.75,531,877,302,644,336,306
247,230,121.27,232,234.31,523,460,285,677.29,290,285
264,232,138,220,167,425.88,404.46,354,713.93,315,266
355,271.82,131,220,193,565,918,300,598,355,272
310,280,150,217,205,520,469.22,288,614,345,250
258,266,141,251,212.31,429,610,305,623,314,235
266,222,129,216,114,437,646,355,731,289,264
265,221,121.12,220,94,382,360.66,309,730,317,263
244,203,144,175,218.67,352,262.58,322,661,255.31,217
258,242,129,171,202.55,278,456,312.3,614,334,246.3
224,180,130.39,164,114,281,410,308,644,301,230
220.6,170,117,226,79,314,385,293.41,706,290,253.19
214,187,121.31,218,105,295,316.09,317,668.93,287,253
225.94,160,114,205,159,309,347,281,625,382,229
196,146,111,181,101,279,332,301,633,276,236.18
210,151,109.96,237,158,357.52,295,296.81,693,292,214
176,147,91,227.75,140.06,343,308,226,649,278.78,214
222.69,143,124,257,162,404,357,275,689,303,252.78
176,215.33,135,215.12,208,388,365,287,761,296,282
147,200.5,98,273,229,450,306,303.21,673,261,242
160,157,127,261,165,389.32,380,227,570,251,226
234,214.1,138,238,198,449,320,257,614,260,250.15
158,171.41,102.58,224,148.79,360,257.8,184,537,260,182
187,170,88,205,158,375,263,201,565,265,189
164,167,104,186.6,132,369,200,247.09,521,221,160
171,167.83,88,217,133.38,339,194,239.97,520,225.47,163
170,158,77,178,84,333,173,256.23,441,167,206
190,144,81,163,85,282.58,189,254.02,449,204,144
