periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_MICE_10
2020-08-30,263,244,170,202,176,358,267,442,586,234,154,3096
2020-09-06,244,268,91,302,263,395,296,443,588,290,224,3404
2020-09-13,230,241,69,284,242,530,300,518,618,241,111,3384
2020-09-20,255,221,90,290,166,381,299,527,787,223,206,3445
2020-09-27,251,257,84,219,234,410,271,454,616,290,232,3318
2020-10-04,245,195,114,200,238,421,235,443,721,301,196,3309
2020-10-11,253,210,108,290,300,479,276,449,717,349,203,3634
2020-10-18,294,250,88,373,277,442,350,350,654,220,232,3530
2020-10-25,218,276,202,213,415,481,542,509,835,262,260,4213
2020-11-01,238,253,121,269,387,559,509,487,780,237,232,4072
2020-11-08,257,310,114,239,428,663,628,465,798,362,255,4519
2020-11-15,260,256,133,263,382,599,645,425,717,354,263,4297
2020-11-22,192,251,130,244,333,649,553,462,579,290,189,3872
2020-11-29,255,273,175,310,333,516,424,387,615,340,415,4043
2020-12-06,289,236,127,233,292,469,277,338,469,267,224,3221
2020-12-13,268,234,132,191,224,384,285,288,379,241,175,2801
2020-12-20,207,212,11,266,173,338,290,257,455,235,157,2601
2020-12-27,408,387,197,426,223,663,460,547,874,501,243,4929
2021-01-03,186,200,101,211,117,342,216,255,560,163,171,2522
2021-01-10,174,226,114,184,96,427,269,283,636,260,195,2864
2021-01-17,293,265,96,234,111,359,233,393,688,283,208,3163
2021-01-24,186,274,173,245,146,389,285,321,758,282,247,3306
2021-01-31,188,218,137,185,89,372,284,306,550,309,235,2873
2021-02-07,193,179,130,232,103,398,279,351,594,358,227,3044
2021-02-14,213,216,164,300,108,425,288,395,748,365,259,3481
2021-02-21,242,251,112,304,137,421,322,316,735,445,273,3558
2021-02-28,187,246,120,226,108,415,305,323,634,319,280,3163
2021-03-07,168,163,119,466,119,352,291,346,637,301,247,3209
2021-03-14,178,146,90,237,149,312,306,302,595,275,255,2845
2021-03-21,192,175,111,248,140,336,308,260,543,252,303,2868
2021-03-28,256,186,93,194,146,326,290,239,566,283,272,2851
2021-04-04,277,195,98,286,186,327,329,279,607,312,292,3188
2021-04-11,263,282,105,276,179,435,329,328,557,326,323,3403
2021-04-18,406,329,99,350,216,389,376,343,518,344,321,3691
2021-04-25,297,208,50,284,191,488,366,212,518,345,268,3227
2021-05-02,318,284,77,262,197,442,328,310,601,329,295,3443
2021-05-09,266,265,92,232,197,417,265,273,685,327,303,3322
2021-05-16,396,369,122,271,186,528,399,350,665,424,393,4103
2021-05-23,466,327,149,350,246,518,365,281,596,426,370,4094
2021-05-30,357,340,226,228,188,391,350,324,576,402,325,3707
2021-06-06,364,287,100,297,240,561,332,336,627,378,313,3835
2021-06-13,309,330,105,219,269,544,553,365,594,424,273,3985
2021-06-20,292,238,134,289,308,522,305,414,588,369,252,3711
2021-06-27,311,211,94,275,286,525,364,358,618,366,255,3663
2021-07-04,234,148,100,237,140,431,341,255,550,318,288,3042
2021-07-11,231,172,120,246,203,446,292,295,473,306,245,3029
2021-07-18,294,191,85,255,187,377,291,322,499,319,232,3052
2021-07-25,301,190,122,253,202,426,349,330,571,268,239,3251
2021-08-01,269,206,90,182,184,408,360,266,650,349,243,3207
2021-08-08,262,203,67,228,114,430,374,310,636,398,243,3265
2021-08-15,274,240,119,257,191,441,314,365,646,389,247,3483
2021-08-22,228,257,111,253,192,417,308,354,705,343,255,3423
2021-08-29,213,188,68,257,197,393,246,369,864,359,262,3416
2021-09-05,216,236,97,224,191,408,319,322,930,328,258,3529
2021-09-12,200,212,105,239,318,450,349,414,1046,390,290,4013
2021-09-19,186,179,80,366,367,483,403,393,1054,370,353,4234
2021-09-26,188,266,111,464,436,577,403,438,959,380,317,4539
2021-10-03,247,275,150,449,498,621,447,519,1048,381,334,4969
2021-10-10,269,293,150,432,480,689,460,579,1186,479,328,5345
2021-10-17,246,310,180,495,481,561,416,488,1089,469,384,5119
2021-10-24,243,280,149,469,449,643,461,545,992,458,426,5115
2021-10-31,225,269,133,395,389,628,461,471,1120,488,356,4935
2021-11-07,281,200,144,404,378,599,509,442,975,411,333,4676
2021-11-14,326,320,159,343,304,549,478,443,833,386,313,4454
2021-11-21,247,255,163,407,316,594,399,398,740,340,286,4145
2021-11-28,263,252,157,275,338,576,351,427,606,337,285,3867
2021-12-05,215,213,136,290,347,485,345,390,630,327,269,3647
2021-12-12,303,200,129,245,357,452,337,324,594,344,229,3514
2021-12-19,267,226,89,256,246,433,368,251,550,282,231,3199
2021-12-26,240,221,113,245,229,419,286,328,701,277,237,3296
2022-01-02,280,205,123,312,173,499,373,359,861,316,214,3715
2022-01-09,239,226,114,294,161,395,337,337,765,318,229,3415
2022-01-16,211,288,112,265,179,430,351,309,666,299,235,3345
2022-01-23,237,184,126,273,149,507,343,318,607,299,268,3311
2022-01-30,264,265,95,247,133,457,281,265,544,328,243,3122
2022-02-06,215,191,91,226,114,295,255,246,517,352,226,2728
2022-02-13,190,207,113,225,141,408,258,268,539,331,248,2928
2022-02-20,189,208,116,240,101,401,305,270,694,343,239,3106
2022-02-27,172,202,111,209,84,376,235,215,670,295,225,2794
2022-03-06,205,196,118,229,79,394,254,241,614,328,261,2919
2022-03-13,205,229,111,233,137,365,273,252,582,269,243,2899
2022-03-20,230,254,128,295,198,395,297,276,718,304,276,3371
2022-03-27,246,294,112,355,188,427,365,345,684,391,343,3750
2022-04-03,243,282,170,308,308,488,277,281,664,324,318,3663
2022-04-10,233,342,116,213,277,445,258,264,628,362,318,3456
2022-04-17,294,306,157,358,289,478,314,294,595,333,296,3714
2022-04-24,279,310,98,257,266,517,269,267,489,314,285,3351
2022-05-01,295,287,116,321,279,526,337,361,637,332,297,3788
2022-05-08,324,275,122,379,316,608,354,376,754,396,415,4319
2022-05-15,411,295,163,347,315,658,337,414,735,395,458,4528
2022-05-22,192,323,150,314,339,653,334,383,782,336,345,4151
2022-05-29,363,264,88,316,510,728,326,397,723,349,358,4422
2022-06-05,406,280,173,296,269,698,488,427,723,479,290,4529
2022-06-12,318,294,141,262,295,718,1053,364,666,366,316,4793
2022-06-19,326,245,127,218,296,531,414,302,644,336,306,3745
2022-06-26,247,230,104,226,203,430,460,285,570,290,285,3330
2022-07-03,264,232,138,220,269,486,748,354,723,315,266,4015
2022-07-10,233,238,131,220,193,565,918,300,598,355,227,3978
2022-07-17,310,280,150,217,205,520,791,288,614,345,250,3970
2022-07-24,258,266,141,251,183,342,216,305,623,314,235,3134
2022-07-31,266,222,129,216,114,469,646,355,731,289,264,3701
2022-08-07,265,221,126,220,94,382,306,309,730,317,263,3233
2022-08-14,244,203,144,175,123,352,556,322,661,287,217,3284
2022-08-21,219,242,129,171,104,278,456,256,614,334,215,3018
2022-08-28,224,180,103,164,114,281,410,308,644,301,230,2959
2022-09-04,275,170,117,226,79,314,385,303,706,318,228,3121
2022-09-11,171,187,146,218,203,295,344,317,670,287,290,3128
