"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
285,219,75,227.815668202765,265.435643564356,396,326.701421800948,349.734299516908,617,273,182
230,288,139.239896897726,140,170,425.920187793427,234,286,533,215,163
250,195,73,147,222,435,283,298,615,293.333333333333,172
253,244.702564102564,77,166,258,365,267,303,696.139303482587,293.333333333333,262.604761904762
229,234,93,338,185,342,250,349.734299516908,639,229,162
263,244,139.239896897726,202,176,358,267,442,586,234,167
244,220,91,302,263,395,326.701421800948,443,682,293.333333333333,224
246.936893203883,244.702564102564,69,227.815668202765,265.435643564356,530,300,349.734299516908,791,293.333333333333,227
255,221,90,290,265.435643564356,381,299,349.734299516908,787,223,206
249,244.702564102564,84,219,234,410,326.701421800948,454,616,290,232
245,195,114,200,265.435643564356,421,235,443,721,301,262.604761904762
253,210,108,290,300,425.920187793427,276,449,717,349,203
250,244.702564102564,88,373,265.435643564356,442,350,452,654,220,262.604761904762
218,276,109,227.815668202765,415,481,326.701421800948,349.734299516908,835,262,260
238,244.702564102564,139.239896897726,227.815668202765,387,559,509,487,780,237,241
257,207,139.239896897726,227.815668202765,265.435643564356,588,628,465,798,362,255
260,256,133,271,265.435643564356,568,645,425,696.139303482587,354,263
192,251,130,244,481,649,553,462,696.139303482587,290,189
255,244.702564102564,145,310,333,516,424,349.734299516908,615,340,209
289,236,127,227.815668202765,292,425.920187793427,277,338,469,267,224
268,244.702564102564,139.239896897726,191,224,384,326.701421800948,288,379,241,175
207,212,139.239896897726,266,173,338,290,285,455,235,157
408,387,197,426,223,663,479,349.734299516908,874,501,243
186,200,101,227.815668202765,265.435643564356,342,216,349.734299516908,696.139303482587,256,171
174,244.702564102564,139.239896897726,184,96,427,269,283,696.139303482587,260,195
217,244.702564102564,139.239896897726,234,111,359,233,393,688,283,208
246.936893203883,274,139.239896897726,245,265.435643564356,389,285,321,758,310,247
188,218,137,185,89,372,326.701421800948,306,882,309,235
193,244.702564102564,130,232,103,398,279,351,594,293.333333333333,262.604761904762
213,216,139.239896897726,300,108,425.920187793427,288,395,748,365,262.604761904762
242,251,139.239896897726,304,137,421,322,316,735,445,273
246.936893203883,246,139.239896897726,227.815668202765,108,425.920187793427,305,323,634,319,280
168,244.702564102564,139.239896897726,466,119,425.920187793427,291,346,572,301,247
178,146,90,237,265.435643564356,312,306,302,595,275,255
192,175,111,248,140,425.920187793427,308,260,543,252,303
246.936893203883,244.702564102564,93,215,146,326,290,239,696.139303482587,283,272
277,195,98,227.815668202765,186,327,329,279,607,312,292
263,282,124,276,179,435,329,328,557,326,323
246.936893203883,244.702564102564,99,350,216,389,376,343,518,293.333333333333,321
246.936893203883,208,50,284,191,488,326.701421800948,349.734299516908,518,345,268
318,244.702564102564,104,262,197,425.920187793427,326.701421800948,310,696.139303482587,293.333333333333,295
338,244.702564102564,139.239896897726,232,194,417,326.701421800948,273,685,327,303
396,369,122,227.815668202765,186,528,326.701421800948,350,665,424,393
466,327,149,350,246,425.920187793427,365,411,596,426,370
357,244.702564102564,139.239896897726,228,188,391,326.701421800948,415,696.139303482587,402,262.604761904762
364,244.702564102564,100,297,265.435643564356,425.920187793427,332,336,696.139303482587,378,313
309,330,144,219,265.435643564356,544,326.701421800948,365,696.139303482587,424,273
292,244.702564102564,134,289,308,498,305,414,588,369,262.604761904762
311,211,94,275,286,525,326.701421800948,358,618,366,255
246.936893203883,148,100,237,265.435643564356,431,326.701421800948,337,550,318,262.604761904762
231,172,120,227.815668202765,203,446,292,295,473,306,245
294,191,139.239896897726,255,187,423,285,349.734299516908,499,319,232
301,190,122,253,202,426,349,349.734299516908,571,268,262.604761904762
269,206,90,182,265.435643564356,444,360,349.734299516908,650,352,243
262,203,67,227.815668202765,163,430,374,349.734299516908,636,398,243
246.936893203883,240,119,257,191,441,314,365,646,389,247
228,257,111,309,265.435643564356,417,326.701421800948,354,705,343,285
213,188,68,257,265.435643564356,393,246,369,864,359,262.604761904762
216,236,97,224,191,408,319,322,930,293.333333333333,258
246.936893203883,212,105,324,318,450,349,414,696.139303482587,293.333333333333,278
186,220,80,366,367,425.920187793427,403,393,1054,370,353
188,266,139.239896897726,227.815668202765,436,577,403,349.734299516908,959,380,317
247,244.702564102564,150,449,498,621,447,519,696.139303482587,381,334
269,244.702564102564,150,432,265.435643564356,689,460,579,1186,479,328
246,310,180,495,481,561,416,488,696.139303482587,469,384
243,280,149,469,449,425.920187793427,461,545,992,293.333333333333,426
225,269,133,395,389,628,461,471,696.139303482587,488,356
246.936893203883,200,144,404,378,599,509,442,696.139303482587,293.333333333333,333
279,252,159,343,265.435643564356,549,478,377,833,386,313
246.936893203883,244.702564102564,163,361,316,594,399,398,740,340,286
246.936893203883,252,143,275,338,576,351,427,606,337,285
215,213,139.239896897726,290,347,485,345,390,630,327,269
246.936893203883,200,139.239896897726,245,357,425.920187793427,344,324,594,293.333333333333,229
267,244.702564102564,89,226,265.435643564356,433,368,251,550,282,231
240,180,113,275,229,419,286,328,701,293.333333333333,262.604761904762
280,244.702564102564,123,312,173,499,373,359,861,316,243
246.936893203883,226,114,294,161,526,337,337,696.139303482587,318,229
211,228,112,265,179,430,326.701421800948,309,666,293.333333333333,262.604761904762
237,184,126,273,149,507,326.701421800948,318,696.139303482587,299,268
264,210,95,247,133,457,281,265,696.139303482587,328,243
215,191,91,226,265.435643564356,425.920187793427,255,246,517,352,226
246.936893203883,207,139.239896897726,227.815668202765,265.435643564356,425.920187793427,297,349.734299516908,539,331,262.604761904762
246.936893203883,208,96,227.815668202765,265.435643564356,401,305,270,696.139303482587,343,239
172,244.702564102564,111,209,84,376,235,215,670,295,225
205,196,118,229,79,394,254,241,696.139303482587,296,261
205,229,111,227.815668202765,265.435643564356,414,273,252,582,293.333333333333,262.604761904762
246.936893203883,254,128,227.815668202765,154,395,297,349.734299516908,718,304,276
246,294,112,355,159,427,365,345,684,293.333333333333,343
250,282,170,308,265.435643564356,488,326.701421800948,349.734299516908,696.139303482587,324,318
233,342,116,337,265.435643564356,445,258,264,628,362,262.604761904762
294,306,157,358,289,478,314,294,595,293.333333333333,296
279,310,98,271,265.435643564356,517,269,267,489,314,285
295,287,139.239896897726,321,265.435643564356,526,337,361,637,293.333333333333,297
324,244.702564102564,122,379,316,608,354,376,754,396,415
411,295,163,227.815668202765,315,658,337,414,735,395,262.604761904762
357,323,139.239896897726,314,339,653,334,383,782,336,345
363,264,126,316,350,425.920187793427,326,397,723,349,358
312,280,173,296,269,425.920187793427,488,335,723,344,290
246.936893203883,294,141,227.815668202765,295,425.920187793427,1053,364,666,366,316
326,244.702564102564,127,227.815668202765,265.435643564356,531,877,302,644,336,306
247,230,139.239896897726,232,265.435643564356,523,460,285,696.139303482587,290,285
264,232,138,220,167,425.920187793427,326.701421800948,354,696.139303482587,315,266
355,244.702564102564,131,220,193,565,918,300,598,355,272
310,280,150,217,205,520,326.701421800948,288,614,345,250
258,266,141,251,265.435643564356,429,610,305,623,314,235
266,222,129,216,114,437,646,355,731,289,264
265,221,139.239896897726,220,94,382,326.701421800948,309,730,317,263
244,203,144,175,265.435643564356,352,326.701421800948,322,661,293.333333333333,217
246.936893203883,242,129,171,265.435643564356,278,456,349.734299516908,614,334,262.604761904762
224,180,139.239896897726,164,114,281,410,308,644,301,230
246.936893203883,170,117,226,79,314,385,349.734299516908,706,290,262.604761904762
214,187,139.239896897726,218,105,295,326.701421800948,317,696.139303482587,287,253
246.936893203883,160,114,205,159,309,347,281,625,382,229
196,146,111,181,101,279,332,301,633,276,262.604761904762
210,151,139.239896897726,237,158,425.920187793427,295,349.734299516908,693,292,214
176,147,91,227.815668202765,265.435643564356,343,308,226,649,293.333333333333,214
246.936893203883,143,124,257,162,404,357,275,689,303,262.604761904762
176,244.702564102564,135,227.815668202765,208,388,365,287,761,296,282
147,244.702564102564,98,273,229,450,306,349.734299516908,673,261,242
160,157,127,261,165,425.920187793427,380,227,570,251,226
234,244.702564102564,138,238,198,449,320,257,614,260,262.604761904762
158,244.702564102564,139.239896897726,224,265.435643564356,360,326.701421800948,184,537,260,182
187,170,88,205,158,375,263,201,565,265,189
164,167,104,227.815668202765,132,369,200,349.734299516908,521,221,160
171,244.702564102564,88,217,265.435643564356,339,194,349.734299516908,520,293.333333333333,163
170,158,77,178,84,333,173,349.734299516908,441,167,206
190,144,81,163,85,425.920187793427,189,349.734299516908,449,204,144
