periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_KNN_20
2020-06-14,264,324,116.0,189,321,440,336,405,623,313,261,3592.0
2020-06-21,348,218,135.0,176,289,475,285,323,786,302,219,3556.0
2020-06-28,215,221,98.0,210,368,503,355,376,690,327,188,3551.0
2020-07-05,316,234,113.0,180,254,424,310,347,666,301,219,3364.0
2020-07-12,306,233,124.0,194,199,375,308,300,693,299,263,3294.0
2020-07-19,316,280,70.0,304,203,414,334,317,623,299,295,3455.0
2020-07-26,285,219,75.0,224,234,396,295,338,617,273,182,3138.0
2020-08-02,230,288,131.0,140,170,338,234,286,533,215,163,2728.0
2020-08-09,250,195,73.0,147,222,435,283,298,615,250,172,2940.0
2020-08-16,253,212,77.0,166,258,365,267,303,701,246,182,3030.0
2020-08-23,229,234,93.0,338,185,342,250,307,639,229,162,3008.0
2020-08-30,263,244,119.0,202,176,358,267,442,586,234,167,3058.0
2020-09-06,244,220,91.0,302,263,395,344,443,682,343,224,3551.0
2020-09-13,177,203,69.0,217,271,530,300,324,791,299,227,3408.0
2020-09-20,255,221,90.0,290,185,381,299,393,787,223,206,3330.0
2020-09-27,249,270,84.0,219,234,410,314,454,616,290,232,3372.0
2020-10-04,245,195,114.0,200,199,421,235,443,721,301,208,3282.0
2020-10-11,253,210,108.0,290,300,485,276,449,717,349,203,3640.0
2020-10-18,250,242,88.0,373,199,442,350,452,654,220,224,3494.0
2020-10-25,218,276,109.0,211,415,481,306,456,835,262,260,3829.0
2020-11-01,238,264,120.0,275,387,559,509,487,780,237,241,4097.0
2020-11-08,257,207,141.0,245,338,588,628,465,798,362,255,4284.0
2020-11-15,260,256,133.0,271,321,568,645,425,740,354,263,4236.0
2020-11-22,192,251,130.0,244,481,649,553,462,798,290,189,4239.0
2020-11-29,255,252,145.0,310,333,516,424,427,615,340,209,3826.0
2020-12-06,289,236,127.0,162,292,377,277,338,469,267,224,3058.0
2020-12-13,268,221,158.0,191,224,384,277,288,379,241,175,2806.0
2020-12-20,207,212,115.0,266,173,338,290,285,455,235,157,2733.0
2020-12-27,408,387,197.0,426,223,663,479,383,874,501,243,4784.0
2021-01-03,186,200,101.0,167,139,342,216,283,634,256,171,2695.0
2021-01-10,174,196,118.0,184,96,427,269,283,634,260,195,2836.0
2021-01-17,217,212,115.0,234,111,359,233,393,688,283,208,3053.0
2021-01-24,258,274,150.0,245,173,389,285,321,758,310,247,3410.0
2021-01-31,188,218,137.0,185,89,372,305,306,882,309,235,3226.0
2021-02-07,193,180,130.0,232,103,398,279,351,594,290,214,2964.0
2021-02-14,213,216,126.0,300,108,421,288,395,748,365,273,3453.0
2021-02-21,242,251,123.0,304,137,421,322,316,735,445,273,3569.0
2021-02-28,230,246,141.0,162,108,388,305,323,634,319,280,3136.0
2021-03-07,168,216,127.0,466,119,376,291,346,572,301,247,3229.0
2021-03-14,178,146,90.0,237,158,312,306,302,595,275,255,2854.0
2021-03-21,192,175,111.0,248,140,338,308,260,543,252,303,2870.0
2021-03-28,197,210,93.0,215,146,326,290,239,595,283,272,2866.0
2021-04-04,277,195,98.0,205,186,327,329,279,607,312,292,3107.0
2021-04-11,263,282,124.0,276,179,435,329,328,557,326,323,3422.0
2021-04-18,246,280,99.0,350,216,389,376,343,518,343,321,3481.0
2021-04-25,255,208,50.0,284,191,488,360,295,518,345,268,3262.0
2021-05-02,318,232,104.0,262,197,388,384,310,684,327,295,3501.0
2021-05-09,338,270,135.0,232,194,417,610,273,685,327,303,3784.0
2021-05-16,396,369,122.0,220,186,528,877,350,665,424,393,4530.0
2021-05-23,466,327,149.0,350,246,594,365,411,596,426,370,4300.0
2021-05-30,357,221,155.0,228,188,391,332,415,693,402,295,3677.0
2021-06-06,364,256,100.0,297,269,440,332,336,646,378,313,3731.0
2021-06-13,309,330,144.0,219,167,544,341,365,646,424,273,3762.0
2021-06-20,292,192,134.0,289,308,498,305,414,588,369,269,3658.0
2021-06-27,311,211,94.0,275,286,525,345,358,618,366,255,3644.0
2021-07-04,228,148,100.0,237,179,431,246,337,550,318,232,3006.0
2021-07-11,231,172,120.0,257,203,446,292,295,473,306,245,3040.0
2021-07-18,294,191,98.0,255,187,423,285,267,499,319,232,3050.0
2021-07-25,301,190,122.0,253,202,426,349,300,571,268,232,3214.0
2021-08-01,269,206,90.0,182,187,444,360,279,650,352,243,3262.0
2021-08-08,262,203,67.0,273,163,430,374,316,636,398,243,3365.0
2021-08-15,263,240,119.0,257,191,441,314,365,646,389,247,3472.0
2021-08-22,228,257,111.0,309,234,417,329,354,705,343,285,3572.0
2021-08-29,213,188,68.0,257,199,393,246,369,864,359,256,3412.0
2021-09-05,216,236,97.0,224,191,408,319,322,930,343,258,3544.0
2021-09-12,255,212,105.0,324,318,450,349,414,637,343,278,3685.0
2021-09-19,186,220,80.0,366,367,497,403,393,1054,370,353,4289.0
2021-09-26,188,266,128.0,273,436,577,403,427,959,380,317,4354.0
2021-10-03,247,269,150.0,449,498,621,447,519,985,381,334,4900.0
2021-10-10,269,261,150.0,432,402,689,460,579,1186,479,328,5235.0
2021-10-17,246,310,180.0,495,481,561,416,488,985,469,384,5015.0
2021-10-24,243,280,149.0,469,449,427,461,545,992,381,426,4822.0
2021-10-31,225,269,133.0,395,389,628,461,471,833,488,356,4648.0
2021-11-07,246,200,144.0,404,378,599,509,442,644,360,333,4259.0
2021-11-14,279,252,159.0,343,316,549,478,377,833,386,313,4285.0
2021-11-21,264,282,163.0,361,316,594,399,398,740,340,286,4143.0
2021-11-28,263,252,143.0,275,338,576,351,427,606,337,285,3853.0
2021-12-05,215,213,124.0,290,347,485,345,390,630,327,269,3635.0
2021-12-12,230,200,136.0,245,357,423,344,324,594,322,229,3404.0
2021-12-19,267,263,89.0,226,186,433,368,251,550,282,231,3146.0
2021-12-26,240,180,113.0,275,229,419,286,328,701,301,268,3340.0
2022-01-02,280,252,123.0,312,173,499,373,359,861,316,243,3791.0
2022-01-09,227,226,114.0,294,161,526,337,337,705,318,229,3474.0
2022-01-16,211,228,112.0,265,179,430,286,309,666,303,245,3234.0
2022-01-23,237,184,126.0,273,149,507,305,318,718,299,268,3384.0
2022-01-30,264,210,95.0,247,133,457,281,265,517,328,243,3040.0
2022-02-06,215,191,91.0,226,165,375,255,246,517,352,226,2859.0
2022-02-13,213,207,123.0,144,158,314,297,317,539,331,230,2873.0
2022-02-20,223,208,96.0,232,133,401,305,270,650,343,239,3100.0
2022-02-27,172,171,111.0,209,84,376,235,215,670,295,225,2763.0
2022-03-06,205,196,118.0,229,79,394,254,241,693,296,261,2966.0
2022-03-13,205,229,111.0,257,179,414,273,252,582,268,261,3031.0
2022-03-20,231,254,128.0,273,154,395,297,323,718,304,276,3353.0
2022-03-27,246,294,112.0,355,159,427,365,345,684,326,343,3656.0
2022-04-03,250,282,170.0,308,231,488,366,354,705,324,318,3796.0
2022-04-10,233,342,116.0,337,199,445,258,264,628,362,321,3505.0
2022-04-17,294,306,157.0,358,289,478,314,294,595,326,296,3707.0
2022-04-24,279,310,98.0,271,203,517,269,267,489,314,285,3302.0
2022-05-01,295,287,138.0,321,244,526,337,361,637,344,297,3787.0
2022-05-08,324,282,122.0,379,316,608,354,376,754,396,415,4326.0
2022-05-15,411,295,163.0,263,315,658,337,414,735,395,345,4331.0
2022-05-22,357,323,143.0,314,339,653,334,383,782,336,345,4309.0
2022-05-29,363,264,126.0,316,350,594,326,397,723,349,358,4166.0
2022-06-05,312,280,173.0,296,269,576,488,335,723,344,290,4086.0
2022-06-12,312,294,141.0,296,295,565,1053,364,666,366,316,4668.0
2022-06-19,326,266,127.0,251,193,531,877,302,644,336,306,4159.0
2022-06-26,247,230,135.0,232,146,523,460,285,730,290,285,3563.0
2022-07-03,264,232,138.0,220,167,507,337,354,730,315,266,3530.0
2022-07-10,355,252,131.0,220,193,565,918,300,598,355,272,4159.0
2022-07-17,310,280,150.0,217,205,520,610,288,614,345,250,3789.0
2022-07-24,258,266,141.0,251,191,429,610,305,623,314,235,3623.0
2022-07-31,266,222,129.0,216,114,437,646,355,731,289,264,3669.0
2022-08-07,265,221,137.0,220,94,382,305,309,730,317,263,3243.0
2022-08-14,244,203,144.0,175,183,352,315,322,661,259,217,3075.0
2022-08-21,245,242,129.0,171,113,278,456,300,614,334,253,3135.0
2022-08-28,224,180,114.0,164,114,281,410,308,644,301,230,2970.0
2022-09-04,210,170,117.0,226,79,314,385,301,706,290,230,3028.0
2022-09-11,214,187,137.0,218,105,295,254,317,688,287,253,2955.0
2022-09-18,187,160,114.0,205,159,309,347,281,625,382,229,2998.0
2022-09-25,196,146,111.0,181,101,279,332,301,633,276,230,2786.0
2022-10-02,210,151,108.0,237,158,395,295,246,693,292,214,2999.0
2022-10-09,176,147,91.0,165,244,343,308,226,649,275,214,2838.0
2022-10-16,240,143,124.0,257,162,404,357,275,689,303,245,3199.0
2022-10-23,176,200,135.0,164,208,388,365,287,761,296,282,3262.0
2022-10-30,147,187,98.0,273,229,450,306,295,673,261,242,3161.0
2022-11-06,160,157,127.0,261,165,375,380,227,570,251,226,2899.0
2022-11-13,234,155,138.0,238,198,449,320,257,614,260,214,3077.0
2022-11-20,158,257,141.0,224,204,360,290,184,537,260,182,2797.0
2022-11-27,187,170,88.0,205,158,375,263,201,565,265,189,2666.0
2022-12-04,164,167,104.0,178,132,369,200,261,521,221,160,2477.0
2022-12-11,171,221,88.0,217,244,339,194,306,520,235,163,2698.0
2022-12-18,170,158,77.0,178,84,333,173,271,441,167,206,2258.0
2022-12-25,190,144,81.0,163,85,367,189,265,449,204,144,2281.0
