periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere,Palu_Adamaoua_Mean_20
2021-01-24,246.936893203883,274.0,139.239896897726,245.0,265.435643564356,389.0,285.0,321.0,758.0,310.0,247.0,3480.612433665965
2021-01-31,188.0,218.0,137.0,185.0,89.0,372.0,326.701421800948,306.0,882.0,309.0,235.0,3247.701421800948
2021-02-07,193.0,244.702564102564,130.0,232.0,103.0,398.0,279.0,351.0,594.0,293.333333333333,262.604761904762,3080.640659340659
2021-02-14,213.0,216.0,139.239896897726,300.0,108.0,425.920187793427,288.0,395.0,748.0,365.0,262.604761904762,3460.7648465959146
2021-02-21,242.0,251.0,139.239896897726,304.0,137.0,421.0,322.0,316.0,735.0,445.0,273.0,3585.239896897726
2021-02-28,246.936893203883,246.0,139.239896897726,227.815668202765,108.0,425.920187793427,305.0,323.0,634.0,319.0,280.0,3254.912646097801
2021-03-07,168.0,244.702564102564,139.239896897726,466.0,119.0,425.920187793427,291.0,346.0,572.0,301.0,247.0,3319.862648793717
2021-03-14,178.0,146.0,90.0,237.0,265.435643564356,312.0,306.0,302.0,595.0,275.0,255.0,2961.435643564356
2021-03-21,192.0,175.0,111.0,248.0,140.0,425.920187793427,308.0,260.0,543.0,252.0,303.0,2957.920187793427
2021-03-28,246.936893203883,244.702564102564,93.0,215.0,146.0,326.0,290.0,239.0,696.139303482587,283.0,272.0,3051.778760789034
2021-04-04,277.0,195.0,98.0,227.815668202765,186.0,327.0,329.0,279.0,607.0,312.0,292.0,3129.8156682027648
2021-04-11,263.0,282.0,124.0,276.0,179.0,435.0,329.0,328.0,557.0,326.0,323.0,3422.0
2021-04-18,246.936893203883,244.702564102564,99.0,350.0,216.0,389.0,376.0,343.0,518.0,293.333333333333,321.0,3396.97279063978
2021-04-25,246.936893203883,208.0,50.0,284.0,191.0,488.0,326.701421800948,349.734299516908,518.0,345.0,268.0,3275.372614521739
2021-05-02,318.0,244.702564102564,104.0,262.0,197.0,425.920187793427,326.701421800948,310.0,696.139303482587,293.333333333333,295.0,3472.796810512859
2021-05-09,338.0,244.702564102564,139.239896897726,232.0,194.0,417.0,326.701421800948,273.0,685.0,327.0,303.0,3479.643882801238
2021-05-16,396.0,369.0,122.0,227.815668202765,186.0,528.0,326.701421800948,350.0,665.0,424.0,393.0,3987.517090003713
2021-05-23,466.0,327.0,149.0,350.0,246.0,425.920187793427,365.0,411.0,596.0,426.0,370.0,4131.9201877934265
