"Bankim","Banyo","Belel","Dang","Djohong","Meiganga","Ngaoundal","Ngaoundere_Rural","Ngaoundere_Urbain","Tibati","Tignere"
258,252,143,275,338,576,351,427,606,337,285
215,213,147,290,347,485,345,390,630,327,269
294,200,130,245,357,585,344,324,594,315,229
267,276,89,226,191,433,368,251,550,282,231
240,180,113,275,229,419,286,328,701,294,272
280,256,123,312,173,499,373,359,861,316,243
255,226,114,294,161,526,337,337,740,318,229
211,228,112,265,179,430,368,309,666,281,217
237,184,126,273,149,507,386,318,654,299,268
264,210,95,247,133,457,281,265,683,328,243
215,191,91,226,111,343,255,246,517,352,226
218,207,119,324,181,377,297,443,539,331,219
188,208,96,231,203,401,305,270,608,343,239
172,167,111,209,84,376,235,215,670,295,225
205,196,118,229,79,394,254,241,683,296,261
205,229,111,163,202,414,273,252,582,246,268
176,254,128,165,154,395,297,442,718,304,276
246,294,112,355,159,427,365,345,684,349,343
250,282,170,308,246,488,332,347,615,324,318
233,342,116,337,111,445,258,264,628,362,383
294,306,157,358,289,478,314,294,595,369,296
279,310,98,271,286,517,269,267,489,314,285
295,287,123,321,378,526,337,361,637,237,297
324,386,122,379,316,608,354,376,754,396,415
411,295,163,263,315,658,337,414,735,395,224
357,323,111,314,339,653,334,383,782,336,345
363,264,126,316,350,484,326,397,723,349,358
312,280,173,296,269,485,488,335,723,344,290
408,294,141,244,295,718,1053,364,666,366,316
326,256,127,290,263,531,877,302,644,336,306
247,230,117,232,347,523,460,285,594,290,285
264,232,138,220,167,426,258,354,645,315,266
355,236,131,220,193,565,918,300,598,355,272
310,280,150,217,205,520,337,288,614,345,250
258,266,141,251,203,429,610,305,623,314,235
266,222,129,216,114,437,646,355,731,289,264
265,221,98,220,94,382,279,309,730,317,263
244,203,144,175,238,352,280,322,661,295,217
211,242,129,171,162,278,456,352,614,334,355
224,180,81,164,114,281,410,308,644,301,230
190,170,117,226,79,314,385,281,706,290,226
214,187,80,218,105,295,221,317,623,287,253
215,160,114,205,159,309,347,281,625,382,229
196,146,111,181,101,279,332,301,633,276,148
210,151,127,237,158,381,295,345,693,292,214
176,147,91,205,158,343,308,226,649,259,214
251,143,124,257,162,404,357,275,689,303,214
176,184,135,224,208,388,365,287,761,296,282
147,146,98,273,229,450,306,327,673,261,242
160,157,127,261,165,324,380,227,570,251,226
234,206,138,238,198,449,320,257,614,260,256
158,170,124,224,79,360,299,184,537,260,182
187,170,88,205,158,375,263,201,565,265,189
164,167,104,209,132,369,200,260,521,221,160
171,147,88,217,229,339,194,352,520,187,163
170,158,77,178,84,333,173,257,441,167,206
190,144,81,163,85,232,189,191,449,204,144
