periodid,Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere
2022-05-29,363,264,126.0,316,350,728,326,397,723,349,358
2022-06-05,312,280,173.0,296,269,698,488,335,723,344,290
2022-06-12,318,294,141.0,262,295,625,1053,364,666,366,316
2022-06-19,326,304,127.0,218,296,531,877,302,644,336,306
2022-06-26,247,230,104.0,232,240,523,460,285,570,290,285
2022-07-03,264,232,138.0,220,167,486,748,354,723,315,266
2022-07-10,355,238,131.0,220,193,565,918,300,598,355,272
2022-07-17,310,280,150.0,217,205,520,791,288,614,345,250
2022-07-24,258,266,141.0,251,183,429,610,305,623,314,235
2022-07-31,266,222,129.0,216,114,437,646,355,731,289,264
2022-08-07,265,221,126.0,220,94,382,625,309,730,317,263
2022-08-14,244,203,144.0,175,123,352,556,322,661,287,217
2022-08-21,219,242,129.0,171,104,278,456,256,614,334,215
2022-08-28,224,180,103.0,164,114,281,410,308,644,301,230
2022-09-04,275,170,117.0,226,79,314,385,303,706,290,228
2022-09-11,214,187,146.0,218,105,295,344,317,670,287,253
2022-09-18,211,160,114.0,205,159,309,347,281,625,382,229
2022-09-25,196,146,111.0,181,101,279,332,301,633,276,183
2022-10-02,210,151,122.0,237,158,342,295,315,693,292,214
2022-10-09,176,147,91.0,244,173,343,308,226,649,325,214
2022-10-16,202,143,124.0,257,162,404,357,275,689,303,203
2022-10-23,176,144,135.0,259,208,388,365,287,761,296,282
2022-10-30,147,154,98.0,273,229,450,306,269,673,261,242
2022-11-06,160,157,127.0,261,165,427,380,227,570,251,226
2022-11-13,234,174,138.0,238,198,449,320,257,614,260,232
2022-11-20,158,154,110.0,224,174,360,303,184,537,260,182
2022-11-27,187,170,88.0,205,158,375,263,201,565,265,189
2022-12-04,164,167,104.0,201,132,369,200,182,521,221,160
2022-12-11,171,186,88.0,217,83,339,194,190,520,214,163
2022-12-18,170,158,77.0,178,84,333,173,187,441,167,206
2022-12-25,190,144,81.0,163,85,344,189,206,449,204,144
