Bankim,Banyo,Belel,Dang,Djohong,Meiganga,Ngaoundal,Ngaoundere_Rural,Ngaoundere_Urbain,Tibati,Tignere
357,312,97.0,228,188,391,350,415,576,402,325
364,287,100.0,297,240,561,332,336,627,378,313
309,330,144.0,219,269,544,347,365,598,424,273
292,238,134.0,289,308,498,305,414,588,369,252
311,211,94.0,275,286,525,380,358,618,366,255
234,148,100.0,237,227,431,341,337,550,318,288
231,172,120.0,246,203,446,292,295,473,306,245
294,191,85.0,255,187,423,285,322,499,319,232
301,190,122.0,253,202,426,349,338,571,268,239
269,206,90.0,182,184,444,360,266,650,352,243
262,203,67.0,228,163,430,374,310,636,398,243
274,240,119.0,257,191,441,314,365,646,389,247
228,257,111.0,309,192,417,308,354,705,343,285
213,188,68.0,257,197,393,246,369,864,359,262
216,236,97.0,224,191,408,319,322,930,328,258
200,212,105.0,324,318,450,349,414,1046,390,278
186,220,80.0,366,367,483,403,393,1054,370,353
188,266,111.0,464,436,577,403,438,959,380,317
247,275,150.0,449,498,621,447,519,1048,381,334
269,293,150.0,432,480,689,460,579,1186,479,328
246,310,180.0,495,481,561,416,488,1089,469,384
243,280,149.0,469,449,643,461,545,992,458,426
225,269,133.0,395,389,628,461,471,1120,488,356
281,200,144.0,404,378,599,509,442,975,411,333
279,252,159.0,343,304,549,478,377,833,386,313
247,255,163.0,361,316,594,399,398,740,340,286
263,252,143.0,275,338,576,351,427,606,337,285
215,213,136.0,290,347,485,345,390,630,327,269
303,200,129.0,245,357,452,344,324,594,344,229
267,226,89.0,226,246,433,368,251,550,282,231
240,180,113.0,275,229,419,286,328,701,277,237
280,205,123.0,312,173,499,373,359,861,316,243
239,226,114.0,294,161,526,337,337,765,318,229
211,228,112.0,265,179,430,351,309,666,299,235
237,184,126.0,273,149,507,343,318,607,299,268
264,210,95.0,247,133,457,281,265,544,328,243
215,191,91.0,226,114,412,255,246,517,352,226
190,207,113.0,225,141,408,297,268,539,331,248
189,208,96.0,240,101,401,305,270,694,343,239
172,202,111.0,209,84,376,235,215,670,295,225
205,196,118.0,229,79,394,254,241,614,296,261
205,229,111.0,233,137,414,273,252,582,269,243
230,254,128.0,295,154,395,297,276,718,304,276
246,294,112.0,355,159,427,365,345,684,391,343
250,282,170.0,308,308,488,277,281,664,324,318
233,342,116.0,337,277,445,258,264,628,362,318
294,306,157.0,358,289,478,314,294,595,333,296
279,310,98.0,271,266,517,269,267,489,314,285
295,287,116.0,321,279,526,337,361,637,332,297
324,275,122.0,379,316,608,354,376,754,396,415
411,295,163.0,347,315,658,337,414,735,395,458
357,323,150.0,314,339,653,334,383,782,336,345
363,264,126.0,316,350,728,326,397,723,349,358
312,280,173.0,296,269,698,488,335,723,344,290
318,294,141.0,262,295,625,1053,364,666,366,316
326,304,127.0,218,296,531,877,302,644,336,306
247,230,104.0,232,240,523,460,285,570,290,285
264,232,138.0,220,167,486,748,354,723,315,266
355,238,131.0,220,193,565,918,300,598,355,272
310,280,150.0,217,205,520,791,288,614,345,250
258,266,141.0,251,183,429,610,305,623,314,235
266,222,129.0,216,114,437,646,355,731,289,264
265,221,126.0,220,94,382,625,309,730,317,263
244,203,144.0,175,123,352,556,322,661,287,217
219,242,129.0,171,104,278,456,256,614,334,215
224,180,103.0,164,114,281,410,308,644,301,230
275,170,117.0,226,79,314,385,303,706,290,228
214,187,146.0,218,105,295,344,317,670,287,253
211,160,114.0,205,159,309,347,281,625,382,229
196,146,111.0,181,101,279,332,301,633,276,183
210,151,122.0,237,158,342,295,315,693,292,214
176,147,91.0,244,173,343,308,226,649,325,214
202,143,124.0,257,162,404,357,275,689,303,203
176,144,135.0,259,208,388,365,287,761,296,282
147,154,98.0,273,229,450,306,269,673,261,242
160,157,127.0,261,165,427,380,227,570,251,226
234,174,138.0,238,198,449,320,257,614,260,232
158,154,110.0,224,174,360,303,184,537,260,182
187,170,88.0,205,158,375,263,201,565,265,189
164,167,104.0,201,132,369,200,182,521,221,160
171,186,88.0,217,83,339,194,190,520,214,163
170,158,77.0,178,84,333,173,187,441,167,206
190,144,81.0,163,85,344,189,206,449,204,144
